浔江区域船舶数据统计摘要
======================

总记录数: 12982953
唯一船舶数 (基于MMSI): 9053

船舶类型分布:
  21时: 500229 条记录 (3.85%)
  22时: 494288 条记录 (3.81%)
  23时: 493386 条记录 (3.80%)

速度统计 (SOG):
  count: 12982953.0
  mean: 653.4057112430431
  std: 1262.0225287490107
  min: 0.0
  25%: 0.0
  50%: 0.0
  75%: 1028.0
  max: 65022.0
